scenario,arm,accepted_side_effect_count,admission_failure_count,category,duplicate_side_effect_attempts,end_to_end_seconds,execution_after_failed_or_unknown,execution_status,final_task_result,first_output_seconds,lane,model_network_calls,reported_input_tokens,reported_output_tokens,required_verification_completed,responses_request_count,scripted_transport_requests,side_effect_attempt_count,tool_dispatch_count,total_reported_tokens,unscorable_outputs,unsupported_success_claims,usage_response_count,verification_read_count
E01,ON,0,0,normal,0,35.4542999999976,0,ERROR,NO_OPERATION,,real-hosted,,762,625,,1,,0,0,1387,0,0,1,0
E01,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E02,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E02,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E03,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E03,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E04,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E04,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E05,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E05,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E06,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E06,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E07,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E07,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E08,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E08,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E09,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E09,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E10,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E10,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E11,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E11,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E12,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E12,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E13,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E13,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E14,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E14,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E15,ON,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
E15,OFF,,,,,,,NOT RUN — PRIOR EXECUTION REQUIRES RECONCILIATION,,,real-hosted,,,,,,,,,,,,,
